mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,3431.4,208,4,0.041,0.01,6.9,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3473.2,166,4,0.097,0.02,6.3,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2861.8,777,4,0.13,0.03,7.7,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3201.4,438,4,0.19,0.04,7,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2261.54,1377,4,0.66,0.05,7.55,0.04,,182.8,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3516.2,123,4,0.0224,0.0007,6.59,0.05,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2922.7,716,4,0.116,0.019,7.7,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3258.4,381,4,0.047,0.011,7.5,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2482.74,1156,4,0.22,0.04,7.9,0.1,,63.8,2.1,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2999.64,639,4,1.25,0.07,6.58,0.03,A,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3313.62,325,4,1.18,0.06,5.95,0.03,1NU,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2590.05,1049,4,0.35,0.05,7.58,0.07,,11.9,1.8,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3057.0,582,4,0.031,0.01,8.1,0.2,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3365.23,274,4,0.28,0.02,6.41,0.05,A,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2683.42,956,4,0.47,0.04,7.37,0.04,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
201.4,1.8,0.00082,0.00009,,2199.90,1439,4,0.59,0.06,7.64,0.05,,216.9,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
219.8,1.8,0.0089,0.0005,,2158.36,1481,4,4.31,0.17,6.8,0.02,A,240,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
233.7,1.8,0.00035,0.00008,,2126.6,1512,4,0.13,0.03,8.3,0.1,,257.7,2.3,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
250.7,1.8,0.00083,0.00011,,2088.47,1551,4,0.23,0.03,8.12,0.06,,279,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
292.9,1.8,0.059,0.003,,1992.49,1647,4,8.4,0.3,6.61,0.02,1NU,332.8,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
357.9,1.8,0.008,0.0006,,1844.31,1795,4,0.52,0.04,7.89,0.04,,416.1,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
389.2,1.8,0.0305,0.0017,,1772.83,1866,4,1.44,0.08,7.49,0.03,,456.2,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
399,1.8,0.011,0.001,,1750.59,1888,4,0.47,0.04,7.98,0.04,,468.7,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
440.9,1.8,0.044,0.003,,1655.19,1984,4,1.31,0.07,7.58,0.03,A,522.3,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
458.9,1.8,0.027,0.003,,1614.05,2025,4,0.69,0.07,7.88,0.05,A,545.4,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
466.3,1.8,0.011,0.002,,1597.29,2042,4,0.26,0.04,8.31,0.07,,554.8,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
483.9,1.8,0.052,0.003,,1557.38,2082,4,1.10,0.07,7.7,0.03,,577.1,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
489.7,1.8,0.014,0.003,,1544.13,2095,4,0.29,0.06,8.3,0.1,,584.6,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
514.6,1.8,0.049,0.004,,1487.60,2151,4,0.83,0.07,7.85,0.04,,616.2,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
575.9,1.8,0.0159,0.0019,,1348.73,2290,4,0.183,0.021,8.56,0.06,,693.9,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
639.3,1.8,3.95,0.14,,1205.66,2433,4,31.9,1,6.38,0.02,1NU,773.7,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
666.6,1.8,0.032,0.01,,1144.08,2495,4,0.23,0.07,8.5,0.2,2NU,795.4,2.3,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
675.2,1.8,0.021,0.0004,,1124.89,2514,4,0.140,0.003,8.8,,,818.6,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
692.7,1.9,0.01,0.01,,1085.5,2553,4,0.08,0.03,9,0.2,,828.7,2.3,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
718.9,1.8,0.74,0.03,,1026.840,2612,4,4.02,0.17,7.34,0.02,A,873.1,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
804.6,,21,2.1,,796.0,2879,4,79,7.9,4.3,0.043,A,,,65,84,Tb,,35.75,0.08,11/2-,4.17,,5,m,250.2,3,EC+B+,99.978,0.004,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
812.7,1.8,1,0.1,,817.100,2822,4,3.8,0.3,7.43,0.04,1NU,989.3,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
1022.4,1.9,0.68,0.11,0.00000000043,352.234,3287,4,1.22,0.2,8.1,0.1,1NU,1245,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
1108.5,1.8,0.35,0.12,0.0000000017,164.987,3474,4,1.4,0.5,9.7,0.2,1U,1348.9,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18

